,L,b1,b2,alpha_l,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,l_sec,t_p,t_w,h_w,h_F,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,fcc,fsy,fsu,esu,d_p_1_o,d_p_1_i,s_p_1_o,s_p_1_i,d_p_2_o,d_p_2_i,s_p_2_o,s_p_2_i,d_p_3_o,d_p_3_i,s_p_3_o,s_p_3_i,d_p_4_o,d_p_4_i,s_p_4_o,s_p_4_i,d_p_5_o,d_p_5_i,s_p_5_o,s_p_5_i,d_p_6_o,d_p_6_i,s_p_6_o,s_p_6_i,d_p_7_o,d_p_7_i,s_p_7_o,s_p_7_i,d_p_8_o,d_p_8_i,s_p_8_o,s_p_8_i,d_p_9_o,d_p_9_i,s_p_9_o,s_p_9_i,d_w1_1_o,d_w1_1_i,s_w1_1_o,s_w1_1_i,d_w1_2_o,d_w1_2_i,s_w1_2_o,s_w1_2_i,d_w1_3_o,d_w1_3_i,s_w1_3_o,s_w1_3_i,d_w1_4_o,d_w1_4_i,s_w1_4_o,s_w1_4_i,d_w1_5_o,d_w1_5_i,s_w1_5_o,s_w1_5_i,d_w1_6_o,d_w1_6_i,s_w1_6_o,s_w1_6_i,d_w1_7_o,d_w1_7_i,s_w1_7_o,s_w1_7_i,d_w1_8_o,d_w1_8_i,s_w1_8_o,s_w1_8_i,d_w1_9_o,d_w1_9_i,s_w1_9_o,s_w1_9_i,d_w2_1_o,d_w2_1_i,s_w2_1_o,s_w2_1_i,d_w2_2_o,d_w2_2_i,s_w2_2_o,s_w2_2_i,d_w2_3_o,d_w2_3_i,s_w2_3_o,s_w2_3_i,d_w2_4_o,d_w2_4_i,s_w2_4_o,s_w2_4_i,d_w2_5_o,d_w2_5_i,s_w2_5_o,s_w2_5_i,d_w2_6_o,d_w2_6_i,s_w2_6_o,s_w2_6_i,d_w2_7_o,d_w2_7_i,s_w2_7_o,s_w2_7_i,d_w2_8_o,d_w2_8_i,s_w2_8_o,s_w2_8_i,d_w2_9_o,d_w2_9_i,s_w2_9_o,s_w2_9_i,withMPCs,offsetmodeling,mesh_size_factor,ecu
10,14455,8077,7622,108,0.35092743540710375,0.1466138541805369,0.3199366644403246,0.06669145098417062,0.32522569025569176,139,222,4135,352,0.3229593267596134,0.057248646180392895,0,0,False,False,0,0,55,600.0009890908717,850.0007552060332,0.8000066851152662,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,12,26,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,18,20,100,150,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,20,18,200,75,True,True,100,-0.0021994679057750484
11,3826,16001,18958,92,0.2946966552808527,0.10430291349388107,0.3045310702036813,0.17016414835573407,0.39010736486161235,635,425,3181,575,0.09806513004724328,0.07126687848094963,0,0,False,False,0,0,45,600.0006741029609,850.0002633231702,0.8000053958388239,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,18,100,200,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,12,22,250,150,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,30,26,200,200,True,True,100,-0.002
12,12539,12970,15658,64,0.2750449652338571,0.09995079820768185,0.378183530056068,0.06579905204195036,0.3662784230854461,887,155,2604,483,0.2082839407850245,0.3866277323413572,0,0,False,False,0,0,80,600.0000813240305,850.0000181520703,0.8000010923031496,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,16,22,150,150,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,14,26,250,100,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,12,12,200,200,True,True,100,-0.002515576591108743
13,3747,9799,14429,91,0.3701300297259397,0.41307825999121256,0.42910795820982717,0.10023284504290941,0.10178522202622492,874,1045,3601,1222,0.12492526625801774,0.16486066783353648,0,0,False,False,0,0,90,600.0000211444101,850.0004165642422,0.8000069935219442,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,26,22,200,150,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,18,12,200,100,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,30,14,150,250,True,True,100,-0.0026004968327615766
14,9650,29205,21175,107,0.3703144642830542,0.13014343751794827,0.4095445036429538,0.41507367165798126,0.3696562105727599,827,259,3049,452,0.1136044154132787,0.1453364435488202,0,0,False,False,0,0,45,600.0008927479072,850.0009290497607,0.8000083862658838,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,10,16,250,100,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,26,16,75,150,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,16,14,75,250,True,True,100,-0.002
15,15707,13005,9222,65,0.1766699802946975,0.26373424691751074,0.34288405863468274,0.4339861412051083,0.23574162462204407,151,575,4035,1092,0.12567554285526747,0.056049765692794205,0,0,False,False,0,0,60,600.0003806017883,850.0000812508893,0.8000011903223195,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,14,18,100,250,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,20,16,150,75,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,30,12,75,100,True,True,100,-0.0022880175327183224
16,13168,22459,33905,82,0.44037627329218365,0.20811063771416222,0.22856836576828254,0.4240676125121623,0.37771902808967683,850,641,4060,854,0.16559442173895056,0.13564845456786123,0,0,False,False,0,0,70,600.0007867942771,850.0006685308643,0.800009937023853,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,26,20,200,150,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,12,18,200,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,16,16,250,100,True,True,100,-0.0024158769243143416
17,15675,26713,32715,63,0.09601223324612737,0.35730485571006076,0.193426890441676,0.27037845853665654,0.20867920470984822,1399,1047,4799,437,0.2791895990943373,0.07766186629121297,0,0,False,False,0,0,45,600.000996178993,850.0004012727535,0.8000073054229481,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,14,26,200,150,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,12,22,200,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,30,12,150,100,True,True,100,-0.002
18,6405,11258,22741,119,0.24135161914406816,0.23964960528266127,0.42218893367059795,0.24437546506275298,0.3552136957601426,824,1008,4437,1410,0.15733518664666815,0.26302802139754855,0,0,False,False,0,0,90,600.0003711261297,850.0002129812012,0.8000099857707074,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,20,250,200,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,12,22,150,100,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,30,26,250,250,True,True,100,-0.0026004968327615766
19,8256,18277,14170,65,0.09107662110304056,0.14561361743555418,0.104382904469358,0.12288341424451321,0.19963945005423317,829,1166,3615,955,0.31558304528532727,0.17438084271975324,0,0,False,False,0,0,60,600.0009649146951,850.0006335184207,0.8000062435920848,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,14,100,150,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,16,16,150,75,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,14,18,100,100,True,True,100,-0.0022880175327183224
20,12196,26162,28599,86,0.09159914843069746,0.34883586953568096,0.3026263107034747,0.19528647475769895,0.15445753802115453,946,352,4734,1046,0.26001137131610214,0.24529929240039827,0,0,False,False,0,0,45,600.0006816570203,850.0004383299794,0.8000000285711694,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,10,20,150,150,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,20,16,250,250,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,18,12,150,200,True,True,100,-0.002
21,12988,7454,17196,113,0.09384883338793683,0.0774444664040756,0.13369731856356043,0.13052710115135863,0.2955301178371112,901,522,2746,397,0.13715828373501496,0.3358686190522253,0,0,False,False,0,0,50,600.0009756172346,850.000221738733,0.8000031367032951,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,14,30,200,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,10,20,75,250,True,True,100,-0.002
22,10488,19257,9911,70,0.403735212118232,0.35264050128798236,0.12909092172725362,0.4178643328251029,0.13152559777604625,1471,428,2016,645,0.27905706341333086,0.06566643800601046,0,0,False,False,0,0,70,600.0007017532723,850.0008881938967,0.8000032862971941,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,26,12,75,250,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,20,30,100,150,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,10,14,150,200,True,True,100,-0.0024158769243143416
23,6826,31252,18208,85,0.3486279267247941,0.20631278372018258,0.39283757877815745,0.4081742538040471,0.18692185705650483,1334,270,2882,927,0.3045978418205516,0.1739777562297047,0,0,False,False,0,0,80,600.0007087028949,850.0007238361065,0.8000081927674936,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,20,12,250,75,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,12,20,150,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,14,20,200,200,True,True,100,-0.002515576591108743
24,11120,33249,7016,91,0.2913729877276077,0.26837760035320607,0.37464362692276465,0.19744600280388225,0.20146581307086317,394,844,4648,277,0.11397593199718842,0.05549047638288834,0,0,False,False,0,0,80,600.0005154494557,850.000194926562,0.8000076539004005,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,10,22,200,200,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,22,18,100,250,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,14,12,75,100,True,True,100,-0.002515576591108743
25,11941,23405,31806,77,0.30708374114055575,0.44399593761593475,0.3856349553419274,0.15662763210347008,0.4490330903501504,533,1435,4348,1066,0.4181471667494357,0.3983867215244796,0,0,False,False,0,0,90,600.0005218827337,850.0009530662329,0.8000031741085123,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,26,12,200,150,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,12,22,100,100,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,22,22,100,200,True,True,100,-0.0026004968327615766
26,14078,26258,13624,117,0.33810056229852625,0.24105366564967873,0.14903422832702223,0.182400402593766,0.3079512504098425,601,1004,3275,1071,0.39068108910253246,0.23738132121231703,0,0,False,False,0,0,45,600.0008195178292,850.0005521146096,0.8000028706354219,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,12,100,200,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,20,18,100,100,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,18,20,200,150,True,True,100,-0.002
27,7643,14772,10079,67,0.2634508588446007,0.4071748469574041,0.051953755548168216,0.43406602987746207,0.15417964270892653,992,190,3826,1320,0.444412652392071,0.12336844018780876,0,0,False,False,0,0,70,600.0007678163029,850.0004198121618,0.8000023009729771,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,22,16,150,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,16,10,200,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,30,30,75,150,True,True,100,-0.0024158769243143416
28,6046,30385,7614,116,0.3998926457982774,0.07667431912606858,0.44415013075062854,0.18570400644603757,0.13493723584900058,835,933,2129,1400,0.3530183788875327,0.23761921647612355,0,0,False,False,0,0,80,600.0006510663849,850.0008199534566,0.8000023206355659,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,12,22,100,200,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,14,22,200,150,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,22,12,150,75,True,True,100,-0.002515576591108743
29,15103,14969,18369,66,0.34231397051805545,0.43824645005199303,0.2796599738519459,0.366421589385707,0.29058571677951034,995,130,4572,622,0.32946452663217946,0.36796660604232057,0,0,False,False,0,0,45,600.0000150465751,850.0008617276818,0.8000072737979147,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,14,20,75,100,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,26,14,200,150,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,14,20,250,100,True,True,100,-0.002
30,8321,33963,20479,68,0.09418744733527565,0.3399227595090786,0.36961681840901073,0.2289375724832569,0.4036839537305694,1047,676,2372,289,0.4494486045780368,0.1452169460919095,0,0,False,False,0,0,90,600.0000935435619,850.0005844445861,0.800002954770374,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,14,20,150,250,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,12,12,150,100,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,18,20,75,200,True,True,100,-0.0026004968327615766
31,13767,18483,14210,60,0.2896559711696653,0.20468148254061358,0.3261902505250666,0.34370991941046086,0.3520849206761114,900,307,2161,1443,0.27419230614868473,0.20013310513523797,0,0,False,False,0,0,70,600.0008471008244,850.0009380337189,0.800005113863805,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,16,22,150,100,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,26,100,250,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,12,12,150,200,True,True,100,-0.0024158769243143416
32,4496,12311,19620,104,0.42237988770826596,0.20318425036187954,0.44525080206792644,0.3568005458916282,0.3765026290543464,513,241,2979,243,0.20453778913022036,0.33474931213058284,0,0,False,False,0,0,45,600.000445687676,850.0003444072292,0.8000007783290388,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,16,30,200,200,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,26,150,150,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,10,22,250,200,True,True,100,-0.002
